Sample ID,Source,Country,Lat,Long,Date,Note,Basin,Type,Class,Geothermal Field,Unit (milligram),Depth (m),Temperature,Density,pH,Alkalinity,(H)CO3,F_mg,Cl_mg,Br_mg,I_mg,SO4_mg,NO3_mg,PO4_mg,B_mg,Si_mg,As_mg,NH4_mg,Na_mg,K_mg,Li_mg,Ca_mg,Mg_mg,Al_mg,Fe_mg,Mn_mg,Zn_mg,Sr_mg,Ba_mg,Rb_mg,Cs_mg,TDS,d18O,d2H,d11B,d13C,87Sr/86Sr,d7Li,d18O (SO4),d34S (SO4),,Unit (mol),Alkalinity,Cl,Br,SO4,B,Si,Na,K,Li,Ca,Mg,NH4,% error,Na/Cl,Mg/Li
CLD-1,"Risacher and Fritz, 1991",Bolivia,-22.195493,-67.738994,,location approximate from digitized map,Laguna Colorada,Stream,Inflow,,mg/L,,6,1,8.76,1.49,,,234,,,95,,,5,28.4,,,195,23,1,14,7,,,,,,,,,752,,,,,,,,,,mmol/L,1.49,6.59,,0.99,0.5,1.01,8.48,0.583,0.11,0.344,0.272,,1.7,1.29,8.7
CLD-2,"Risacher and Fritz, 1991",Bolivia,-22.19609,-67.739757,,location approximate from digitized map,Laguna Colorada,Stream,Inflow,,mg/L,,4.5,1.001,8.78,1.88,,,560,,,163,,,8,27.6,,,423,47,2,19,14,,,,,,,,,1410,,,,,,,,,,mmol/L,1.88,15.8,,1.7,0.709,0.983,18.4,1.19,0.223,0.484,0.56,,1.9,1.16,8.8
CLD-3,"Risacher and Fritz, 1991",Bolivia,-22.196561,-67.740304,,location approximate from digitized map,Laguna Colorada,Stream,Inflow,,mg/L,,5,1.002,8.88,3.42,,,1556,,,364,,,11,38.2,,,1099,91,5,61,37,,,,,,,,,3520,,,,,,,,,,mmol/L,3.42,43.9,,3.79,1.06,1.36,47.8,2.32,0.663,1.52,1.53,,1.8,1.09,8.1
CLD-4,"Risacher and Fritz, 1991",Bolivia,-22.197285,-67.740167,,location approximate from digitized map,Laguna Colorada,Stream,Inflow,,mg/L,,5,1.006,8.92,3.69,,,3758,,,825,,,39,29.2,,,2598,245,11,64,48,,,,,,,,,7880,,,,,,,,,,mmol/L,3.69,106,,8.59,3.57,1.04,113,6.27,1.63,1.6,1.98,,0.5,1.07,4.3
CLD-5,"Risacher and Fritz, 1991",Bolivia,-22.197575,-67.740617,,location approximate from digitized map,Laguna Colorada,Stream,Inflow,,mg/L,,5,1.017,9.1,13.3,,,11876,,,2574,,,210,35.7,,,8046,837,37,120,143,,,,,,,,,24760,,,,,,,,,,mmol/L,13.3,335,,26.8,19.4,1.27,350,21.4,5.26,2.99,5.88,,-0.9,1.04,3.9
CLD-6,"Risacher and Fritz, 1991",Bolivia,-22.198154,-67.740421,,location approximate from digitized map,Laguna Colorada,Stream,Inflow,,mg/L,,10,1.04,8.52,12.9,,,29459,,,5985,,,263,32.6,,,19885,2111,87,103,382,,,,,,,,,59180,,,,,,,,,,mmol/L,12.9,831,,62.3,24.3,1.16,865,54,12.5,2.57,15.7,,0,1.04,4.4
LAG-a,"Risacher and Fritz, 1991",Bolivia,-22.411482,-67.659098,,location approximate from digitized map,Lagunillas,Spring,Inflow,,mg/L,,12,1,8.38,0.6,,,2.77,,,13.26,,,0.23,17,,,7.77,1.99,0,7.01,2.33,,,,,,,,,105,,,,,,,,,,mmol/L,0.55,0.078,,0.138,0.021,0.605,0.338,0.051,4.50E-04,0.175,0.096,,1.5,4.33,#DIV/0!
LAG-L,"Risacher and Fritz, 1991",Bolivia,-22.400821,-67.652821,,location approximate from digitized map,Lagunillas,Lake,Terminal,,mg/L,,8,1,9.8,1.1,,,21.66,,,156.58,,,2.99,34.8,,,47.82,33.3,0.01,37.67,2.62,,,,,,,,,420,,,,,,,,,,mmol/L,1.07,0.611,,1.63,0.277,1.24,2.08,0.852,0.001,0.94,0.108,,0.9,3.4,262
CHA-a,"Risacher and Fritz, 1991",Bolivia,-22.528623,-67.482494,,location approximate from digitized map,Salar de Chalviri,Spring,Inflow,,mg/L,,14.5,1,7.69,0.5,,,8.22,,,19.69,,,0.34,16.1,,,11.31,2.74,0.07,5.93,2.94,,,,,,,,,112,,,,,,,,,,mmol/L,0.45,0.232,,0.205,0.031,0.572,0.492,0.07,0.01,0.148,0.121,,0.8,2.12,42
CHA-b,"Risacher and Fritz, 1991",Bolivia,-22.613678,-67.545918,,location approximate from digitized map,Salar de Chalviri,Spring,Inflow,,mg/L,,30,1.001,7.92,1.4,,,425.4,,,123.92,,,8.38,36.5,,,266.67,47.3,3.44,41.68,9.89,,,,,,,,,1092,,,,,,,,,,mmol/L,1.43,12,,1.29,0.775,1.3,11.6,1.21,0.496,1.04,0.407,,0.6,0.97,2.9
CHA-c,"Risacher and Fritz, 1991",Bolivia,-22.603731,-67.673769,,location approximate from digitized map,Salar de Chalviri,Stream,Inflow,,mg/L,,1,1,8.08,1.7,,,25.17,,,108.55,,,0.94,30.6,,,61.38,6.76,0.24,20.8,7.34,,,,,,,,,401,,,,,,,,,,mmol/L,1.73,0.71,,1.13,0.087,1.09,2.67,0.173,0.035,0.519,0.302,,-2,3.76,30.6
CHA-d,"Risacher and Fritz, 1991",Bolivia,-22.530445,-67.649732,,location approximate from digitized map,Salar de Chalviri,Spring,Inflow,,mg/L,,36,1,8.4,0.8,,,4.25,,,165.22,,,0.34,32.6,,,59.08,4.53,0.05,27.49,2.21,,,,,,,,,380,,,,,,,,,,mmol/L,0.795,0.12,,1.72,0.031,1.16,2.57,0.116,7.00E-03,0.686,0.091,,-1.3,21.42,44.2
CHA-e,"Risacher and Fritz, 1991",Bolivia,-22.486416,-67.644552,,location approximate from digitized map,Salar de Chalviri,Stream,Inflow,,mg/L,,10,1,7.75,0.3,,,2.13,,,14.31,,,0.14,24.8,,,6.34,3.87,0,4.29,1.29,,,,,,,,,104,,,,,,,,,,mmol/L,0.31,0.06,,0.149,0.013,0.883,0.276,0.099,7.00E-04,0.107,0.053,,2,4.6,#DIV/0!
CHA-L,"Risacher and Fritz, 1991",Bolivia,-22.534464,-67.597307,,location approximate from digitized map,Salar de Chalviri,Lake,Terminal,,mg/L,,3,1.015,8.34,4.3,,,11698.5,,,2391.89,,,99.24,39,,,7195.56,379.95,68.51,436.85,245.48,,,,,,,,,22879,,,,,,,,,,mmol/L,4.32,330,,24.9,9.18,1.39,313,9.72,9.87,10.9,10.1,,-1.3,0.95,3.6
HND-a,"Risacher and Fritz, 1991",Bolivia,-22.588584,-67.453907,,location approximate from digitized map,Laguna Honda Sur,Spring,Inflow,,mg/L,,10.8,1,7.95,0.7,,,35.8,,,42.27,,,0.93,27.5,,,30.58,3.17,0.16,22.88,1.58,,,,,,,,,240,,,,,,,,,,mmol/L,0.722,1.01,,0.44,0.086,0.98,1.33,0.081,0.023,0.571,0.065,,1.8,1.32,9.9
HND-L,"Risacher and Fritz, 1991",Bolivia,-22.574697,-67.451318,,location approximate from digitized map,Laguna Honda Sur,Lake,Terminal,,mg/L,,5.5,1.109,9.5,468,,,50339,,,23246.52,,,637.85,66.6,,,49656.24,2599.49,199.9,3.81,1.22,,,,,,,,,152143,,,,,,,,,,mmol/L,468,1420,,242,59,2.37,2160,66.5,28.8,0.095,0.05,,-2.5,1.52,0
PUR-a,"Risacher and Fritz, 1991",Bolivia,-22.700684,-67.520845,,location approximate from digitized map,Laguna Puripica,Spring,Inflow,,mg/L,,5,1,8.72,0.8,,,18.26,,,40.73,,,1.71,22.6,,,25.75,14.07,0.22,9.98,2.31,,,,,,,,,210,,,,,,,,,,mmol/L,0.833,0.515,,0.424,0.158,0.805,1.12,0.36,0.032,0.249,0.095,,0.1,2.17,10.5
PUR-b,"Risacher and Fritz, 1991",Bolivia,-22.720755,-67.525818,,location approximate from digitized map,Laguna Puripica,Spring,Inflow,,mg/L,,23,1,8.12,1.3,,,368.68,,,103.74,,,5.96,31.7,,,229.89,42.22,2.8,28.3,7.83,,,,,,,,,933,,,,,,,,,,mmol/L,1.25,10.4,,1.08,0.551,1.13,10,1.08,0.403,0.706,0.322,,-1,0.96,2.8
PUR-L,"Risacher and Fritz, 1991",Bolivia,-22.70882,-67.517054,,location approximate from digitized map,Laguna Puripica,Lake,Terminal,,mg/L,,4,1.024,8.52,7.8,,,15243.5,,,4658.91,,,237.84,20.6,,,9540.44,1719.96,108.97,464.9,274.65,,,,,,,,,32785,,,,,,,,,,mmol/L,7.8,430,,48.5,22,0.735,415,44,15.7,11.6,11.3,,-1.4,0.97,2.5
VER-a,"Risacher and Fritz, 1991",Bolivia,-22.773115,-67.785043,,location approximate from digitized map,Laguna Verde,Spring,Inflow,,mg/L,,15,1.002,8.28,1.9,,,506.94,,,573.48,,,11.35,48.6,,,478.17,61.37,2.65,80.56,19.3,,,,,,,,,1950,,,,,,,,,,mmol/L,1.86,14.3,,5.97,1.05,1.73,20.8,1.57,0.382,2.01,0.794,,0.5,1.45,7.3
VER-b,"Risacher and Fritz, 1991",Bolivia,-22.769485,-67.706923,,location approximate from digitized map,Laguna Verde,Spring,Inflow,,mg/L,,30.5,1.001,6.28,1.1,,,545.93,,,249.76,,,9.55,56.2,,,312.65,56.68,4.4,88.57,22.8,,,,,,,,,1477,,,,,,,,,,mmol/L,1.09,15.4,,2.6,0.883,2,13.6,1.45,0.634,2.21,0.938,,0.7,0.88,5.2
VER-c,"Risacher and Fritz, 1991",Bolivia,-22.770058,-67.66776,,location approximate from digitized map,Laguna Verde,Spring,Inflow,,mg/L,,15,1,7.3,0.4,,,2.94,,,22.57,,,0.25,30.9,,,8.97,1.8,0.02,7.74,1.7,,,,,,,,,136,,,,,,,,,,mmol/L,0.395,0.083,,0.235,0.023,1.1,0.39,0.046,3.00E-03,0.193,0.07,,0.9,4.7,85
VER-d,"Risacher and Fritz, 1991",Bolivia,-22.836724,-67.652012,,location approximate from digitized map,Laguna Verde,Spring,Inflow,,mg/L,,20,1,7.28,0.8,,,89.33,,,24.4,,,1.38,30.3,,,51.04,3.83,0.41,18.6,4.35,,,,,,,,,306,,,,,,,,,,mmol/L,0.788,2.52,,0.254,0.128,1.08,2.22,0.098,0.059,0.464,0.179,,-2,0.88,10.6
VER-e,"Risacher and Fritz, 1991",Bolivia,-22.822782,-67.760177,,location approximate from digitized map,Laguna Verde,Spring,Inflow,,mg/L,,7,1.002,8.4,2.7,,,861.44,,,221.9,,,16.76,23.2,,,579.32,35.57,5.3,48.9,35.97,,,,,,,,,2017,,,,,,,,,,mmol/L,2.68,24.3,,2.31,1.55,0.825,25.2,0.91,0.764,1.22,1.48,,1.1,1.04,6.8
VER-L,"Risacher and Fritz, 1991",Bolivia,-22.794523,-67.833243,,location approximate from digitized map,Laguna Verde,Lake,Terminal,,mg/L,,5,1.046,8.48,18.9,,,30947.85,,,9798.12,,,584.88,26.5,,,20000.43,1368.15,161.03,773.51,1159.35,,,,,,,,,66034,,,,,,,,,,mmol/L,18.9,873,,102,54.1,0.942,870,35,23.2,19.3,47.7,,-1.6,1,7.2
COL-a,"Risacher and Fritz, 1991",Bolivia,-22.471521,-67.414694,,location approximate from digitized map,Laguna Collpa,Spring,Inflow,,mg/L,,2,1,7.67,0.5,,,6.49,,,2.02,,,0.4,16.1,,,6.69,3.01,0,4.57,2.09,,,,,,,,,92,,,,,,,,,,mmol/L,0.53,0.183,,0.021,0.037,0.574,0.291,0.077,0,0.114,0.086,,0.9,1.59,#DIV/0!
COL-b,"Risacher and Fritz, 1991",Bolivia,-22.485046,-67.417859,,location approximate from digitized map,Laguna Collpa,Spring,Inflow,,mg/L,,4.5,1,7.53,0.8,,,8.4,,,11.24,,,0.5,13.9,,,17.49,2.81,0,4.09,1.8,,,,,,,,,123,,,,,,,,,,mmol/L,0.775,0.237,,0.117,0.046,0.493,0.761,0.072,0,0.102,0.074,,-2.5,3.21,#DIV/0!
COL-L,"Risacher and Fritz, 1991",Bolivia,-22.477115,-67.411449,,location approximate from digitized map,Laguna Collpa,Lake,Terminal,,mg/L,,5,1.037,10.81,562,,,6664.6,,,473.58,,,98.06,70.2,,,17103.82,1258.7,0.6,7.01,3.21,,,,,,,,,45112,,,,,,,,,,mmol/L,562,188,,4.93,9.07,2.5,744,32.2,0.086,0.175,0.132,,1.1,3.96,5.4
HDS-L,"Risacher and Fritz, 1991",Bolivia,-22.460488,-67.385322,,location approximate from digitized map,Laguna Hedionia Sur,Lake,Terminal,,mg/L,,5,1.028,10.6,362,,,6700.05,,,1661.84,,,113.52,88.8,,,12597.97,1680.87,0.5,16.39,6.39,,,,,,,,,36217,,,,,,,,,,mmol/L,362,189,,17.3,10.5,3.16,548,43,0.072,0.409,0.263,,0.6,2.9,12.8
TOT-a,"Risacher and Fritz, 1991",Bolivia,-22.532919,-67.295151,,location approximate from digitized map,Laguna Totoral,Spring,Inflow,,mg/L,,13.4,1,8.65,0.6,,,4.29,,,7.97,,,0.19,17.4,,,11.7,1.37,0.04,6.41,0.32,,,,,,,,,105,,,,,,,,,,mmol/L,0.597,0.121,,0.083,0.018,0.62,0.509,0.035,6.00E-03,0.16,0.013,,0.7,4.21,8
TOT-L,"Risacher and Fritz, 1991",Bolivia,-22.540595,-67.293358,,location approximate from digitized map,Laguna Totoral,Lake,Terminal,,mg/L,,2.8,1,10.3,3.4,,,18.58,,,44.67,,,1.28,46.1,,,90.35,0.47,0.26,17.59,0.66,,,,,,,,,411,,,,,,,,,,mmol/L,3.4,0.524,,0.465,0.118,1.64,3.93,0.012,0.037,0.439,0.027,,0.6,7.5,2.5
CAT-a,"Risacher and Fritz, 1991",Bolivia,-22.52164,-67.20816,,location approximate from digitized map,Laguna Catalcito,Stream,Inflow,,mg/L,,5.5,1,7.8,1.2,,,70.19,,,16.62,,,0.98,24.6,,,49.2,6.02,0.58,17.59,3.04,,,,,,,,,289,,,,,,,,,,mmol/L,1.19,1.98,,0.173,0.091,0.875,2.14,0.154,0.084,0.439,0.125,,-0.1,1.08,5.2
CAT-b,"Risacher and Fritz, 1991",Bolivia,-22.540971,-67.192204,,location approximate from digitized map,Laguna Catalcito,Spring,Inflow,,mg/L,,15.1,1,8.2,0.8,,,5.18,,,13.26,,,0.36,21.1,,,13.79,1.33,0.05,10.58,0.15,,,,,,,,,135,,,,,,,,,,mmol/L,0.75,0.146,,0.138,0.033,0.75,0.6,0.034,7.00E-03,0.264,6.00E-03,,0.4,4.11,3
CAT-L,"Risacher and Fritz, 1991",Bolivia,-22.565658,-67.24007,,location approximate from digitized map,Laguna Catalcito,Lake,Terminal,,mg/L,,4,1.007,9.1,14.2,,,4821.2,,,720.45,,,52.97,43.8,,,3310.42,315.07,31.03,57.31,8.51,,,,,,,,,10238,,,,,,,,,,mmol/L,14.2,136,,7.5,4.9,1.56,144,8.06,4.47,1.43,0.35,,-1.6,1.06,0.3
BUS-a,"Risacher and Fritz, 1991",Bolivia,-22.623816,-67.137292,,location approximate from digitized map,Laguna Bush,Stream,Inflow,,mg/L,,3.8,1,7.95,1.4,,,16.87,,,9.51,,,0.71,22.9,,,22.39,2.93,0.18,16.59,1.73,,,,,,,,,202,,,,,,,,,,mmol/L,1.36,0.476,,0.099,0.066,0.815,0.974,0.075,0.026,0.414,0.071,,0.3,2.05,9.6
BUS-b,"Risacher and Fritz, 1991",Bolivia,-22.641794,-67.181636,,location approximate from digitized map,Laguna Bush,Spring,Inflow,,mg/L,,13.9,1,8.1,0.7,,,127.97,,,35.73,,,1.57,20.6,,,84.14,5.32,0.63,15.39,2.11,,,,,,,,,357,,,,,,,,,,mmol/L,0.665,3.61,,0.372,0.145,0.735,3.66,0.136,0.091,0.384,0.087,,-1.9,1.01,3.3
BUS-c,"Risacher and Fritz, 1991",Bolivia,-22.636439,-67.223493,,location approximate from digitized map,Laguna Bush,Spring,Inflow,,mg/L,,13.4,1,8.45,1,,,111.67,,,55.14,,,2.29,18,,,101.84,2.19,0.66,9.62,0.68,,,,,,,,,379,,,,,,,,,,mmol/L,0.95,3.15,,0.574,0.212,0.64,4.43,0.056,0.095,0.24,0.028,,-1.3,1.41,1
BUS-L,"Risacher and Fritz, 1991",Bolivia,-22.615591,-67.197177,,location approximate from digitized map,Laguna Bush,Lake,Terminal,,mg/L,,8.8,1.052,8.3,14.4,,,34244.7,,,10470.54,,,485.41,30.1,,,25287.9,992.89,176.3,605.18,163.09,,,,,,,,,73415,,,,,,,,,,mmol/L,14.4,966,,109,44.9,1.07,1100,25.4,25.4,15.1,6.71,,-0.2,1.14,0.9
PEL-a,"Risacher and Fritz, 1991",Bolivia,-22.779229,-67.189096,,location approximate from digitized map,Laguna Pelada,Spring,Inflow,,mg/L,,9.2,1,8.35,0.4,,,3.12,,,10.47,,,0.23,19.1,,,6.23,2.85,0.01,5.25,0.73,,,,,,,,,91,,,,,,,,,,mmol/L,0.358,0.088,,0.109,0.021,0.68,0.271,0.073,1.40E-03,0.131,0.03,,0.3,3.08,73
PEL-L,"Risacher and Fritz, 1991",Bolivia,-22.74732,-67.176663,,location approximate from digitized map,Laguna Pelada,Lake,Terminal,,mg/L,,6.2,1.015,9.1,16,,,5707.45,,,5264.09,,,304.87,18.4,,,5264.48,1129.7,19.23,270.93,78.99,,,,,,,,,19010,,,,,,,,,,mmol/L,16,161,,54.8,28.2,0.655,229,28.9,2.77,6.76,3.25,,-1,1.42,4.1
LOR-a,"Risacher and Fritz, 1991",Bolivia,-22.407053,-67.19644,,location approximate from digitized map,Laguna Loromayu,Spring,Inflow,,mg/L,,5.8,1,7.85,2.8,,,85.43,,,45.44,,,1.07,36.8,,,79.31,14.39,0.75,40.08,3.89,,,,,,,,,519,,,,,,,,,,mmol/L,2.81,2.41,,0.473,0.099,1.31,3.45,0.368,0.108,1,0.16,,0.6,1.43,5.2
LOR-b,"Risacher and Fritz, 1991",Bolivia,-22.426913,-67.19087,,location approximate from digitized map,Laguna Loromayu,Spring,Inflow,,mg/L,,6.8,1,8.05,2.4,,,36.16,,,21.23,,,0.54,30.1,,,52.87,14.19,0.39,20.48,2.45,,,,,,,,,358,,,,,,,,,,mmol/L,2.4,1.02,,0.221,0.05,1.07,2.3,0.363,0.056,0.511,0.101,,1,2.25,6.3
LOR-L,"Risacher and Fritz, 1991",Bolivia,-22.415267,-67.209303,,location approximate from digitized map,Laguna Loromayu,Lake,Terminal,,mg/L,,11.2,1.235,7.8,126,,,178668,,,26128.32,,,2594.64,3,,,83220.18,36979.14,3081.8,151.9,8749.8,,,,,,,,,347528,,,,,,,,,,mmol/L,126,5040,,272,240,0.105,3620,946,444,3.79,360,,0.2,0.72,2.8
LUR-a,"Risacher and Fritz, 1991",Bolivia,-22.40362,-67.155594,,location approximate from digitized map,Laguna Luriques,Stream,Inflow,,mg/L,,4,1,7.8,1.9,,,3.58,,,44.76,,,0.28,27.4,,,17.89,12.39,0.03,24.09,6.32,,,,,,,,,280,,,,,,,,,,mmol/L,1.85,0.101,,0.466,0.026,0.975,0.778,0.317,4.00E-03,0.601,0.26,,-1.1,7.7,210.7
LUR-b,"Risacher and Fritz, 1991",Bolivia,-22.416125,-67.158378,,location approximate from digitized map,Laguna Luriques,Stream,Inflow,,mg/L,,4,1,7.9,2.4,,,32.05,,,19.88,,,0.8,31.2,,,39.08,12.39,0.37,28.5,3.31,,,,,,,,,348,,,,,,,,,,mmol/L,2.4,0.904,,0.207,0.074,1.11,1.7,0.317,0.053,0.711,0.136,,0.6,1.88,8.9
LUR-L,"Risacher and Fritz, 1991",Bolivia,-22.4008,-67.170447,,location approximate from digitized map,Laguna Luriques,Lake,Terminal,,mg/L,,0.7,1.026,8.85,7.2,,,17760.45,,,3688.7,,,134.06,14.7,,,9701.36,2028.77,143.68,1579.07,167.95,,,,,,,,,35690,,,,,,,,,,mmol/L,7.22,501,,38.4,12.4,0.525,422,51.9,20.7,39.4,6.91,,0.2,0.84,1.2
MAM-a,"Risacher and Fritz, 1991",Bolivia,-22.2722,-67.044461,,location approximate from digitized map,Laguna Mahama Coma,Spring,Inflow,,mg/L,,14.5,1,9.4,0.6,,,10.88,,,7.97,,,0.24,12.8,,,12,1.6,0.03,8.1,1.05,,,,,,,,,101,,,,,,,,,,mmol/L,0.58,0.307,,0.083,0.022,0.455,0.522,0.041,4.00E-03,0.202,0.043,,0.2,1.7,35
MAM-b,"Risacher and Fritz, 1991",Bolivia,-22.284088,-67.060623,,location approximate from digitized map,Laguna Mahama Coma,Spring,Inflow,,mg/L,,2.3,1,7.5,1,,,97.49,,,14.02,,,1.05,14.5,,,67.36,4.18,0.25,11.98,2.55,,,,,,,,,291,,,,,,,,,,mmol/L,1.01,2.75,,0.146,0.097,0.515,2.93,0.107,0.036,0.299,0.105,,-2.2,1.07,10.2
MAM-c,"Risacher and Fritz, 1991",Bolivia,-22.287731,-67.079273,,location approximate from digitized map,Laguna Mahama Coma,Spring,Inflow,,mg/L,,10,1,7.5,0.6,,,73.03,,,14.89,,,0.82,17.4,,,54.02,3.75,0.19,5.65,1.51,,,,,,,,,228,,,,,,,,,,mmol/L,0.61,2.06,,0.155,0.076,0.62,2.35,0.096,0.027,0.141,0.062,,-1.7,1.14,7.9
MAM-N,"Risacher and Fritz, 1991",Bolivia,-22.262825,-67.069614,,location approximate from digitized map,Laguna Mahama Coma,Brine,Terminal,,mg/L,,6.3,1.086,7.35,2,,,76926.5,,,883.75,,,204.33,13.3,,,39541.08,2701.12,165.2,4007.8,2070.79,,,,,,,,,126777,,,,,,,,,,mmol/L,1.95,2170,,9.2,18.9,0.475,1720,69.1,23.8,100,85.2,,-0.2,0.79,12.5
CHL-a,"Risacher and Fritz, 1991",Bolivia,-22.341022,-67.08839,,location approximate from digitized map,Laguna Chohillas,Stream,Inflow,,mg/L,,0.2,1,8.3,0.7,,,5.35,,,7.49,,,0.29,15,,,8.02,2.15,0.03,8.34,1.87,,,,,,,,,106,,,,,,,,,,mmol/L,0.676,0.151,,0.078,0.027,0.535,0.349,0.055,4.00E-03,0.208,0.077,,-0.3,2.31,62.3
CHL-b,"Risacher and Fritz, 1991",Bolivia,-22.381074,-67.114913,,location approximate from digitized map,Laguna Chohillas,Spring,Inflow,,mg/L,,8.6,1,8.4,0.5,,,60.62,,,12.01,,,1.1,14,,,44.6,2.62,0.66,4.17,0.78,,,,,,,,,185,,,,,,,,,,mmol/L,0.474,1.71,,0.125,0.102,0.5,1.94,0.067,0.095,0.104,0.032,,-1.2,1.13,1.2
CHL-L,"Risacher and Fritz, 1991",Bolivia,-22.355412,-67.095566,,location approximate from digitized map,Laguna Chohillas,Lake,Terminal,,mg/L,,5,1.013,7.6,4.9,,,10776.8,,,408.26,,,102.49,37.9,,,5471.38,406.54,65.04,741.44,187.15,,,,,,,,,18555,,,,,,,,,,mmol/L,4.88,304,,4.25,9.48,1.35,238,10.4,9.37,18.5,7.7,,-1.1,0.78,2.9
COR-a,"Risacher and Fritz, 1991",Bolivia,-22.397359,-67.00136,,location approximate from digitized map,Laguna Coruto,Stream,Inflow,,mg/L,,9.3,1,7.5,0.6,,,5.92,,,9.99,,,0.28,11.5,,,7.08,1.72,0.02,8.1,2.19,,,,,,,,,94,,,,,,,,,,mmol/L,0.56,0.167,,0.104,0.026,0.41,0.308,0.044,3.00E-03,0.202,0.09,,0.2,1.84,109.5
COR-b,"Risacher and Fritz, 1991",Bolivia,-22.413259,-66.963233,,location approximate from digitized map,Laguna Coruto,Stream,Inflow,,mg/L,,0.7,1,6.05,0.4,,,7.52,,,9.7,,,0.26,13.2,,,7.72,1.88,0.03,7.41,1.39,,,,,,,,,92,,,,,,,,,,mmol/L,0.449,0.212,,0.101,0.024,0.47,0.336,0.048,4.00E-03,0.185,0.057,,0.5,1.58,46.3
COR-c,"Risacher and Fritz, 1991",Bolivia,-22.467269,-66.982089,,location approximate from digitized map,Laguna Coruto,Stream,Inflow,,mg/L,,1.9,1.002,7.25,2.6,,,1187.58,,,114.31,,,12.54,33.4,,,514.95,81.7,8.33,212.81,25.28,,,,,,,,,2391,,,,,,,,,,mmol/L,2.64,33.5,,1.19,1.16,1.19,22.4,2.09,1.2,5.31,1.04,,-0.2,0.67,3
COR-d,"Risacher and Fritz, 1991",Bolivia,-22.474354,-67.005919,,location approximate from digitized map,Laguna Coruto,Stream,Inflow,,mg/L,,4.4,1,7.4,1.8,,,152.79,,,12.3,,,3.2,39.9,,,111.04,15.99,1.68,16.79,1.24,,,,,,,,,511,,,,,,,,,,mmol/L,1.83,4.31,,0.128,0.296,1.42,4.83,0.409,0.242,0.419,0.051,,0.2,1.12,0.7
COR-e,"Risacher and Fritz, 1991",Bolivia,-22.448311,-67.038037,,location approximate from digitized map,Laguna Coruto,Stream,Inflow,,mg/L,,12.3,1,8.9,2.2,,,44.67,,,27.86,,,0.98,39,,,53.56,12.51,0.57,22.68,4.42,,,,,,,,,381,,,,,,,,,,mmol/L,2.22,1.26,,0.29,0.091,1.39,2.33,0.32,0.082,0.566,0.182,,2,1.85,7.8
COR-f,"Risacher and Fritz, 1991",Bolivia,-22.422071,-67.052956,,location approximate from digitized map,Laguna Coruto,Stream,Inflow,,mg/L,,8.3,1,8.35,0.5,,,3.08,,,11.34,,,0.22,22.3,,,5.86,3.83,0.01,6.73,1.63,,,,,,,,,111,,,,,,,,,,mmol/L,0.51,0.087,,0.118,0.02,0.795,0.255,0.098,1.40E-03,0.168,0.067,,-0.5,2.93,163
COR-L,"Risacher and Fritz, 1991",Bolivia,-22.430307,-67.009441,,location approximate from digitized map,Laguna Coruto,Lake,Terminal,,mg/L,,2.5,1.083,7.75,10.6,,,72318,,,2161.35,,,401.09,30.3,,,36092.73,2740.21,338.03,5450.61,1579.83,,,,,,,,,121913,,,,,,,,,,mmol/L,10.6,2040,,22.5,37.1,1.08,1570,70.1,48.7,136,65,,-0.1,0.77,4.7
COT-1,"Risacher, 1999",Chile,-18.18875804,-69.1985247,,,Lagunas Cotacotani,Spring,Inflow,,mg/L,,7.6,1,6.26,2.6,,,5.96,0.011,0.0015,33,0.701,,0.122,37.8,0.0055,,24.2,4.77,0.083,16.5,17.1,,,,,,,,,299,-15.1,-111,,,,,,,,mmol/L,2.61,0.168124118,0.000137665,0.34353529,0.011284803,1.345890228,1.052677367,0.122026094,0.011957931,0.41169719,0.703558938,,-0.7,6.26,206
COT-2,"Risacher, 1999",Chile,-18.18740654,-69.21145929,,,Lagunas Cotacotani,Lake,Terminal,,mg/L,,14.2,1,8.59,5.2,,,29.7,0.026,0.0049,182,,,0.597,17.4,0.0296,,66.5,11.6,0.16,48.9,51.3,,,,,,,,,720,,,,,,,,,,mmol/L,5.2,0.837799718,0.00032539,1.894649178,0.055221534,0.619536772,2.892687807,0.296751087,0.023051434,1.220120765,2.110676815,,0.2,3.45,320.6
COT-3,"Risacher, 1999",Chile,-18.18703717,-69.24112293,,,Lagunas Cotacotani,Lake,Terminal,,mg/L,,6.3,1,9.23,5.7,,,32.1,0.013,0.0042,192,0.012,,0.602,14.4,0.0338,,70.2,11.8,0.17,53.7,53.7,,,,,,,,,750,,,,,,,,,,mmol/L,5.67,0.905500705,0.000162695,1.998750781,0.055684026,0.512720087,3.053634347,0.301867485,0.024492148,1.33988722,2.20942193,,-0.4,3.37,315.9
COT-4,"Risacher, 1999",Chile,-18.18833123,-69.2470065,,,Lagunas Cotacotani,Lake,Terminal,,mg/L,,7.7,1.002,9.21,11.2,,,90.5,0.106,0.0062,750,1.85,,1.59,2.2,0.0384,,224,42.6,0.56,59.3,191,,,,,,,,,2002,,,,,,,,,,mmol/L,11.2,2.552891396,0.001326592,7.807620237,0.147072426,0.078688291,9.743790509,1.089792786,0.080680017,1.479614751,7.858465336,,0.4,3.82,341.1
